source_id,publisher,title,market,product,product_code,document_type,published_date,page_count,url,authority_rank,retrieval_status,binary_status,version_status,retrieved_at,source_hash
POL-SG-PLATINUM-2021-06,Chubb Insurance Singapore Limited / American Express Singapore,The American Express Platinum (Platinum Charge) Policy Wording,SG,The Platinum Card,SG_PLATINUM_CHARGE,formal_policy_wording,2021-06,17,https://icm.aexp-static.com/Internet/insurance/pdf/en-SG/811179_Chubb_Amex_Platinum_Platinum_Charge_DN15.pdf,1,official_url_and_searchable_text_verified,not_exported_by_site_viewer,publicly_accessible_but_current_version_must_be_confirmed,2026-08-10T00:00:00+08:00,bdd6140a85034043517f197a67016edfa6630ff9d4c4f822c05abb51f7df79eb
POL-SG-PLATINUM-RESERVE,Chubb Insurance Singapore Limited / American Express Singapore,No Additional Charge Insurance Program for American Express Platinum Reserve Credit Card,SG,Platinum Reserve Credit Card,SG_PLATINUM_RESERVE,formal_policy_wording,,9,https://icm.aexp-static.com/Internet/IntlHomepage/pdf/platr-insurance-tnc.pdf,1,official_url_and_searchable_text_verified,not_exported_by_site_viewer,publicly_accessible_but_current_version_must_be_confirmed,2026-08-10T00:00:00+08:00,39e16b1271c7352adc96c48d3dc0ab081e63e28b2ee033914b6ef27d30582ae5
POL-SG-KF-ASCEND-2021-08,Chubb Insurance Singapore Limited / American Express Singapore,The American Express Singapore Airlines KrisFlyer Ascend Credit Card Policy Wording,SG,KrisFlyer Ascend Credit Card,SG_KRISFLYER_ASCEND,formal_policy_wording,2021-08,9,https://www.americanexpress.com/content/dam/amex/sg/pdfs/krisflyer/kfa-insurance.pdf,1,official_url_and_searchable_text_verified,not_exported_by_site_viewer,publicly_accessible_but_current_version_must_be_confirmed,2026-08-10T00:00:00+08:00,cd8b4a68ddef28a0d79327d304dc766764741c90c2dc51a9b31fc9b215da7855
POL-SG-TRUE-CASHBACK-2021-04,Chubb Insurance Singapore Limited / American Express Singapore,The American Express True Cashback Card Policy Wording,SG,True Cashback Card,SG_TRUE_CASHBACK,formal_policy_wording,2021-04,9,https://www.americanexpress.com/content/dam/amex/sg/benefits/Chubb_Amex_TrueCashbackCard.pdf,1,official_url_and_searchable_text_verified,not_exported_by_site_viewer,publicly_accessible_but_current_version_must_be_confirmed,2026-08-10T00:00:00+08:00,12f76e6501340dadbc2a0b551f3dad195437d8aad979171a2b1afe369439af53
POL-SG-MY-TRAVEL-2021-12,Chubb Insurance Singapore Limited / American Express Singapore,My Travel Insurance Policy Wording,SG,My Travel Insurance (separately purchased),SG_MY_TRAVEL_INSURANCE,formal_policy_wording,2021-12,42,https://www.americanexpress.com/content/dam/amex/sg/insurance/My_Travel_Insurance_Policy_Wording.pdf,1,official_url_and_searchable_text_verified,not_exported_by_site_viewer,publicly_accessible_but_current_version_must_be_confirmed,2026-08-10T00:00:00+08:00,19670f79b8126f7531eb622855a715791b8927391f06a55299234b3560fbb7b7
SG-AMEX-PLAT-TRAVEL-HTML,American Express Singapore,Platinum Travel Insurance | American Express SG,SG,The Platinum Card,,official_benefit_summary,,,https://www.americanexpress.com/en-sg/benefits/the-platinum-card/insurance-and-protection/travel-insurance/,3,browser_text_snapshot_success,not_applicable_html,publicly_accessible_as_of_retrieval_date,2026-08-10T00:00:00+08:00,9589a107a4150b4f4589c3f96f937019f6500215ff826408886ae31ce161151a
SG-AMEX-CARD-ASSIST,American Express Singapore,Using Your Credit Card Abroad | American Express SG,SG,Multiple cards,,official_service_page,,,https://www.americanexpress.com/amex/en-sg/security/card-assistance-abroad/index.html,3,browser_text_snapshot_success,not_applicable_html,publicly_accessible_as_of_retrieval_date,2026-08-10T00:00:00+08:00,230458b4bac142729d730809d9490b32e0e3416654f70b7c64621d334f38808f
SG-AMEX-FLIGHT-FAQ,American Express Singapore,Flight Customer Support & FAQs | Amex Travel Singapore,SG,Amex Travel,,official_operational_faq,,,https://www.americanexpress.com/sg/travel/frequently-asked-questions/flights/,3,browser_text_snapshot_success,not_applicable_html,publicly_accessible_as_of_retrieval_date,2026-08-10T00:00:00+08:00,3d337e5b6b96c88cd5803b26aafd328e0c719ce3717d5099b1d86310e3029921
SG-AMEX-MANAGE-BOOKING,American Express Singapore,Manage Your Travel Booking FAQs | Amex Travel SG,SG,Amex Travel,,official_operational_faq,,,https://www.americanexpress.com/sg/travel/frequently-asked-questions/manage-booking/,3,browser_text_snapshot_success,not_applicable_html,publicly_accessible_as_of_retrieval_date,2026-08-10T00:00:00+08:00,40c2d9969c0b04753a62c12ff9ec727cb40db5beb8042d0521125977a5252433
SG-AMEX-TRAVEL-TC,American Express Singapore,Terms and Conditions | Amex Travel Singapore,SG,Amex Travel,,official_terms,,,https://www.americanexpress.com/sg/travel/terms-and-conditions/,2,browser_text_snapshot_success,not_applicable_html,publicly_accessible_as_of_retrieval_date,2026-08-10T00:00:00+08:00,707b05b957d6868d96521c6bc4f0a8c6c43098cf95b2f95f8b9f1bcb549d573e
